brand,year,engine,mileage,fuel,price
BMW,2023,3.0,263852,Petrol,40369
Hyundai,2019,2.0,76021,Petrol,31445
Hyundai,2022,2.0,159380,Petrol,29801
Toyota,2006,1.6,44789,Diesel,19248
Kia,2021,2.0,26086,Petrol,35869
Kia,2022,1.6,279003,Petrol,21250
BMW,2010,4.4,7684,Diesel,46647
Kia,2023,1.6,91088,Diesel,35401
BMW,2008,3.0,46099,Petrol,34495
Toyota,2005,1.6,66093,Diesel,19362
Hyundai,2012,4.4,160761,Petrol,29730
Hyundai,2011,3.0,13893,Diesel,35909
Hyundai,2007,2.5,66418,Petrol,25684
Kia,2014,2.5,125074,Petrol,26952
Toyota,2014,1.6,130351,Petrol,24950
Kia,2023,1.6,191083,Petrol,28951
Kia,2018,4.4,38635,Diesel,50725
Toyota,2006,4.4,95071,Diesel,32111
Toyota,2005,2.0,72805,Diesel,22530
Toyota,2022,4.4,264598,Diesel,39326
Toyota,2011,2.0,283022,Petrol,17573
Hyundai,2012,3.0,182170,Petrol,25603
Mercedes,2005,1.6,193226,Diesel,21744
Mercedes,2007,3.0,144063,Diesel,33103
Toyota,2012,4.4,68344,Diesel,44564
Mercedes,2019,3.0,36593,Diesel,51246
Mercedes,2009,3.0,36304,Diesel,41845
Toyota,2007,3.0,186292,Petrol,20554
Mercedes,2023,4.4,113613,Petrol,57705
Kia,2005,3.0,200410,Petrol,16034
BMW,2019,2.0,18354,Diesel,43752
BMW,2012,4.4,284334,Diesel,37324
Toyota,2006,3.0,6142,Diesel,33296
Hyundai,2007,4.4,183043,Diesel,27704
Toyota,2018,2.5,184482,Petrol,30929
Hyundai,2018,2.0,150575,Petrol,31447
BMW,2015,3.0,125438,Diesel,37791
Toyota,2020,2.5,48456,Petrol,43047
Kia,2008,2.5,100167,Petrol,22508
Mercedes,2009,4.4,270160,Diesel,30816
Hyundai,2018,2.5,264528,Diesel,24540
Mercedes,2020,2.0,193392,Diesel,36403
Mercedes,2022,2.0,102239,Diesel,43640
Toyota,2011,1.6,111431,Diesel,25219
Mercedes,2014,2.0,40510,Diesel,34567
Kia,2011,2.5,180005,Petrol,22373
Mercedes,2005,2.0,283970,Petrol,14691
Toyota,2023,4.4,121668,Diesel,53697
Kia,2020,1.6,242700,Petrol,22824
BMW,2023,2.5,24045,Diesel,53183
Mercedes,2008,1.6,181948,Diesel,27123
Toyota,2022,2.5,90102,Diesel,44161
BMW,2006,4.4,99441,Diesel,38895
BMW,2005,1.6,158175,Petrol,18932
Hyundai,2019,3.0,249877,Diesel,31056
Kia,2009,2.5,136917,Petrol,23426
Mercedes,2015,3.0,217770,Diesel,36090
Toyota,2014,1.6,118325,Diesel,27845
Hyundai,2006,3.0,19337,Diesel,30580
Kia,2007,3.0,153385,Petrol,20020
Hyundai,2016,1.6,262420,Diesel,18942
Kia,2009,4.4,143016,Diesel,33032
Kia,2009,3.0,81442,Diesel,29376
Mercedes,2010,3.0,49847,Petrol,39375
Kia,2013,4.4,58653,Petrol,40911
Hyundai,2006,3.0,217144,Petrol,15944
Kia,2016,3.0,253661,Diesel,26192
Mercedes,2007,3.0,289954,Petrol,21560
Mercedes,2016,2.0,77842,Diesel,42932
Hyundai,2021,4.4,272647,Petrol,37127
BMW,2014,3.0,84761,Petrol,39794
BMW,2018,4.4,273734,Diesel,43428
Kia,2021,2.5,141958,Petrol,32470
Toyota,2022,2.5,163864,Diesel,41435
Kia,2023,3.0,256910,Diesel,35476
Hyundai,2021,4.4,120356,Petrol,45061
Hyundai,2018,4.4,217228,Diesel,36928
Hyundai,2013,4.4,42727,Diesel,40539
Hyundai,2012,2.0,8068,Petrol,28978
Hyundai,2006,2.5,116923,Petrol,19253
Mercedes,2017,4.4,11390,Diesel,54295
BMW,2011,4.4,106752,Petrol,41920
Hyundai,2013,2.0,146110,Diesel,25261
Toyota,2015,2.0,224790,Diesel,26044
Toyota,2018,4.4,21281,Petrol,47928
Toyota,2008,1.6,54189,Petrol,21275
Toyota,2017,4.4,262093,Petrol,33949
Mercedes,2006,4.4,122115,Petrol,40320
Toyota,2009,2.0,8605,Diesel,28066
Hyundai,2015,2.0,281954,Diesel,21628
Kia,2010,4.4,249415,Petrol,28068
Toyota,2022,4.4,155394,Petrol,45987
Mercedes,2014,4.4,41869,Diesel,55442
Mercedes,2008,2.0,32955,Diesel,35355
Toyota,2013,4.4,61388,Diesel,47616
Kia,2010,4.4,241324,Diesel,28131
Toyota,2006,3.0,10207,Petrol,29221
Mercedes,2021,1.6,218401,Diesel,37135
BMW,2009,2.5,159292,Diesel,30012
Hyundai,2010,1.6,205157,Petrol,19113
Mercedes,2016,3.0,22031,Diesel,48581
Toyota,2014,2.5,71312,Diesel,32845
Hyundai,2010,4.4,59766,Petrol,33538
Toyota,2012,3.0,143521,Petrol,29667
Toyota,2006,4.4,187771,Petrol,28433
BMW,2016,2.0,237199,Diesel,31767
Hyundai,2017,3.0,236731,Diesel,32584
Hyundai,2011,2.0,235841,Petrol,19366
BMW,2014,3.0,111041,Petrol,37290
Mercedes,2017,3.0,116185,Diesel,41603
Toyota,2021,2.0,177164,Petrol,29673
Kia,2018,2.5,10350,Petrol,36008
Toyota,2006,1.6,227230,Petrol,11905
Toyota,2015,4.4,261570,Diesel,36531
Mercedes,2005,3.0,68487,Diesel,32973
Toyota,2023,4.4,148694,Diesel,50126
BMW,2008,2.0,123853,Diesel,29531
BMW,2023,4.4,235062,Diesel,50533
Hyundai,2015,2.0,233077,Diesel,21088
Kia,2012,4.4,23782,Petrol,41246
Toyota,2015,1.6,290598,Diesel,24632
Toyota,2008,1.6,129936,Diesel,21994
Mercedes,2021,1.6,153245,Petrol,31431
BMW,2011,1.6,122258,Diesel,32368
Kia,2012,1.6,111668,Diesel,22511
Hyundai,2007,1.6,278710,Petrol,13595
BMW,2006,2.0,138262,Petrol,24319
Hyundai,2019,3.0,38333,Petrol,36713
Mercedes,2009,4.4,211977,Diesel,34271
Mercedes,2005,1.6,89571,Petrol,27600
Toyota,2008,2.0,120263,Diesel,26198
Kia,2019,2.0,25235,Diesel,41690
Hyundai,2023,2.0,159,Diesel,43013
BMW,2007,3.0,143217,Diesel,31726
Mercedes,2015,4.4,162993,Petrol,44084
Toyota,2021,3.0,147309,Petrol,37317
Toyota,2017,2.5,107507,Diesel,35339
Hyundai,2015,2.0,14743,Petrol,32697
Mercedes,2006,2.5,228174,Diesel,23403
Kia,2013,1.6,46101,Diesel,24856
Mercedes,2006,1.6,242717,Diesel,20183
Hyundai,2013,3.0,121534,Petrol,28190
Hyundai,2013,4.4,230604,Diesel,26990
Mercedes,2012,2.5,187450,Diesel,34232
Hyundai,2021,4.4,202193,Petrol,38674
Mercedes,2005,3.0,235422,Petrol,25552
BMW,2015,1.6,146721,Petrol,31939
Mercedes,2012,4.4,168785,Petrol,42127
Mercedes,2014,4.4,204535,Diesel,48766
Hyundai,2011,1.6,176481,Petrol,17899
Hyundai,2007,2.5,179838,Diesel,19936
Toyota,2007,1.6,46154,Petrol,24059
Toyota,2022,4.4,269160,Petrol,40431
BMW,2009,2.5,54238,Petrol,36109
Toyota,2016,2.5,89081,Petrol,31508
Mercedes,2016,1.6,247644,Petrol,25113
Hyundai,2023,4.4,199775,Petrol,44542
Toyota,2010,3.0,289061,Diesel,20217
Toyota,2006,4.4,290134,Petrol,24711
BMW,2016,2.0,62551,Petrol,38612
BMW,2023,3.0,210695,Petrol,41076
Mercedes,2009,2.5,153512,Petrol,30558
Hyundai,2016,3.0,166277,Diesel,30216
BMW,2021,2.5,80811,Petrol,42459
Toyota,2021,2.5,254840,Petrol,30283
Hyundai,2014,3.0,234104,Petrol,25452
Hyundai,2021,2.5,19008,Petrol,39942
Toyota,2019,2.5,202346,Diesel,34248
BMW,2016,2.0,32402,Petrol,40156
Toyota,2020,4.4,184456,Diesel,47835
Hyundai,2023,4.4,259994,Petrol,39809
Kia,2012,2.0,136643,Diesel,27056
Kia,2021,3.0,113550,Diesel,41663
Mercedes,2009,1.6,91218,Petrol,33027
Toyota,2020,1.6,133296,Petrol,31080
Toyota,2010,1.6,179767,Diesel,20170
Mercedes,2012,2.0,241060,Diesel,30462
Mercedes,2022,2.0,240016,Petrol,36770
Mercedes,2016,2.5,32441,Diesel,47441
Hyundai,2019,1.6,238038,Diesel,26531
Toyota,2013,3.0,170201,Diesel,27276
Hyundai,2017,3.0,231324,Petrol,29186
Mercedes,2019,1.6,92122,Diesel,41016
Toyota,2014,1.6,44760,Diesel,32028
Hyundai,2020,1.6,285622,Diesel,23454
Hyundai,2011,2.0,143252,Petrol,18653
Mercedes,2021,2.0,98538,Petrol,43821
Toyota,2011,2.0,15372,Diesel,32978
Mercedes,2018,4.4,291940,Petrol,43606
Toyota,2019,3.0,221035,Diesel,31870
Kia,2011,3.0,111022,Petrol,28963
BMW,2013,2.5,54040,Petrol,37328
BMW,2023,2.0,202440,Diesel,40165
BMW,2020,4.4,78356,Petrol,52635
Mercedes,2012,4.4,278355,Petrol,37169
Kia,2022,3.0,267986,Petrol,30774
Toyota,2022,2.0,279652,Diesel,27913
Hyundai,2011,2.5,153077,Petrol,24019
Toyota,2007,2.0,54575,Petrol,23842
Hyundai,2022,1.6,150043,Diesel,32331
Toyota,2014,2.0,66914,Petrol,24278
Kia,2011,1.6,249134,Petrol,15408
Hyundai,2021,1.6,67055,Petrol,33017
Mercedes,2018,2.5,87697,Petrol,39418
Toyota,2007,3.0,106239,Petrol,28533
Toyota,2016,2.0,235469,Diesel,27499
Hyundai,2017,1.6,123106,Diesel,28190
Mercedes,2006,2.0,267499,Petrol,16320
Mercedes,2007,3.0,2257,Petrol,38243
Kia,2009,3.0,289508,Petrol,17270
Mercedes,2015,4.4,156044,Diesel,49046
Mercedes,2012,3.0,111715,Diesel,38526
Mercedes,2016,2.5,26654,Petrol,45557
BMW,2011,1.6,211841,Petrol,22327
Kia,2019,4.4,291464,Diesel,33235
Toyota,2021,2.5,20808,Petrol,40195
Hyundai,2008,2.0,52389,Diesel,25255
Toyota,2017,1.6,118581,Diesel,30939
Kia,2022,3.0,127927,Petrol,38759
Hyundai,2005,1.6,34773,Diesel,21080
Kia,2020,2.0,182240,Petrol,30342
Mercedes,2017,4.4,214764,Petrol,43739
Hyundai,2014,4.4,57505,Petrol,37132
Mercedes,2016,4.4,18135,Petrol,52851
Toyota,2006,3.0,90887,Petrol,22442
Toyota,2007,2.5,122118,Petrol,23936
Hyundai,2014,2.5,154626,Diesel,30883
Hyundai,2006,1.6,245739,Diesel,9740
Kia,2017,3.0,279067,Diesel,30383
Kia,2017,4.4,62261,Diesel,47072
Mercedes,2022,4.4,60948,Petrol,59365
Hyundai,2007,2.0,240891,Diesel,15334
Toyota,2011,2.0,164074,Diesel,22810
Kia,2018,4.4,288816,Diesel,36620
Kia,2021,4.4,266357,Petrol,35932
Toyota,2016,3.0,141365,Diesel,36167
Kia,2020,2.5,62507,Petrol,36531
Mercedes,2016,2.0,57134,Diesel,43392
Hyundai,2019,2.5,133172,Petrol,34302
Toyota,2014,3.0,241225,Petrol,26777
Hyundai,2011,4.4,193069,Diesel,29443
Kia,2009,2.5,290316,Petrol,13213
Kia,2005,4.4,282276,Petrol,21794
Toyota,2021,4.4,248933,Diesel,43113
Mercedes,2007,1.6,280343,Diesel,15976
BMW,2017,2.5,36609,Diesel,41056
Toyota,2018,2.5,174037,Petrol,32189
BMW,2022,4.4,139088,Petrol,49931
BMW,2008,3.0,294025,Petrol,21377
Mercedes,2022,1.6,213666,Diesel,38661
BMW,2009,4.4,286616,Petrol,34073
BMW,2020,2.0,182885,Petrol,34354
Mercedes,2005,2.0,231440,Petrol,19338
BMW,2018,1.6,257803,Petrol,27961
BMW,2019,3.0,167093,Petrol,40316
BMW,2013,4.4,155159,Petrol,42323
Toyota,2019,2.5,12828,Petrol,42371
Toyota,2021,1.6,132473,Diesel,33028
Toyota,2008,3.0,277337,Diesel,18082
Mercedes,2016,2.5,223461,Diesel,38706
Kia,2009,2.0,281755,Petrol,14591
BMW,2009,2.0,174863,Petrol,23049
BMW,2015,2.5,239719,Diesel,32785
Mercedes,2010,1.6,208475,Petrol,25597
BMW,2011,2.0,264889,Diesel,26253
Toyota,2018,4.4,266010,Petrol,37623
Kia,2015,2.5,163317,Petrol,26493
Hyundai,2017,2.5,71354,Diesel,39386
BMW,2006,2.0,51374,Diesel,30873
Toyota,2011,1.6,114397,Diesel,24250
Hyundai,2008,4.4,248552,Diesel,29314
Kia,2012,1.6,292575,Diesel,15063
Hyundai,2023,3.0,29336,Petrol,45232
Toyota,2017,3.0,55350,Petrol,39638
Hyundai,2018,2.0,69561,Petrol,33515
Mercedes,2014,2.0,61240,Diesel,36981
Hyundai,2015,2.0,151165,Diesel,24539
BMW,2006,3.0,46607,Diesel,38537
BMW,2013,1.6,186740,Diesel,29162
Mercedes,2021,1.6,181196,Diesel,39481
Toyota,2007,2.0,64110,Diesel,22274
BMW,2010,4.4,184626,Petrol,39902
Kia,2009,1.6,152008,Petrol,15856
BMW,2009,3.0,4426,Petrol,37166
BMW,2019,2.5,219911,Petrol,35377
Toyota,2021,2.5,289750,Petrol,27056
Hyundai,2013,2.5,28151,Diesel,34088
BMW,2007,4.4,273452,Diesel,32054
Mercedes,2021,2.0,240853,Diesel,39078
Hyundai,2014,3.0,254595,Diesel,29296
Kia,2007,4.4,176743,Diesel,32625
Toyota,2022,3.0,90306,Diesel,39955
Kia,2022,3.0,225180,Petrol,31370
Hyundai,2021,2.0,2204,Diesel,36340
Hyundai,2007,2.5,92769,Diesel,22474
Hyundai,2007,2.0,87265,Diesel,21337
Kia,2010,4.4,293275,Diesel,27657
Hyundai,2017,4.4,52428,Petrol,43338
Kia,2019,4.4,33870,Petrol,45822
Hyundai,2013,2.0,103547,Diesel,28186
Mercedes,2008,3.0,235990,Petrol,23781
Hyundai,2018,3.0,49067,Petrol,36869
Kia,2009,1.6,238083,Diesel,13588
BMW,2006,4.4,112217,Diesel,38984
Hyundai,2015,3.0,98934,Diesel,35207
BMW,2013,1.6,142980,Diesel,33852
Mercedes,2007,3.0,209329,Diesel,31350
Toyota,2013,4.4,257354,Petrol,30593
Mercedes,2007,2.5,61215,Diesel,33916
Hyundai,2006,4.4,186907,Diesel,27995
BMW,2016,2.0,108048,Diesel,36569
BMW,2014,3.0,169530,Petrol,36068
Kia,2013,3.0,177241,Diesel,24918
BMW,2019,2.0,138731,Diesel,40824
Kia,2012,2.0,239977,Diesel,22888
Toyota,2009,2.5,113688,Petrol,25275
Hyundai,2015,3.0,220460,Diesel,28398
Kia,2006,3.0,186823,Diesel,21472
Toyota,2019,2.5,209987,Diesel,35039
BMW,2010,1.6,269150,Petrol,18893
BMW,2012,2.5,249243,Diesel,30905
Toyota,2009,4.4,74218,Diesel,40266
BMW,2020,3.0,196416,Diesel,46902
Toyota,2022,2.0,32430,Petrol,39721
Kia,2010,4.4,23091,Diesel,36393
Kia,2009,3.0,257125,Diesel,17777
Toyota,2020,2.5,23989,Diesel,43324
Kia,2017,4.4,75451,Petrol,44783
Kia,2009,3.0,18990,Petrol,29245
Kia,2017,1.6,250541,Diesel,21511
Mercedes,2021,1.6,298225,Petrol,31458
Hyundai,2022,2.0,142105,Petrol,30964
BMW,2012,3.0,278385,Petrol,26858
Mercedes,2017,1.6,124932,Diesel,34417
Kia,2023,2.5,268083,Diesel,33952
Toyota,2007,3.0,113000,Petrol,29433
Kia,2012,2.5,178634,Petrol,19909
Hyundai,2006,2.5,35063,Petrol,24462
Kia,2012,1.6,207793,Diesel,21924
Toyota,2017,3.0,158117,Diesel,36891
Hyundai,2017,4.4,84703,Petrol,41786
Kia,2005,1.6,235796,Petrol,5617
Hyundai,2010,1.6,128557,Petrol,21878
BMW,2023,3.0,289220,Petrol,39260
BMW,2020,3.0,253317,Diesel,36388
Kia,2012,2.5,195877,Petrol,24585
Hyundai,2005,3.0,293577,Diesel,12120
Toyota,2020,2.5,43309,Petrol,39893
Kia,2013,1.6,43527,Petrol,25794
BMW,2017,2.0,224490,Petrol,34012
BMW,2015,4.4,139883,Petrol,44483
Kia,2017,1.6,93344,Petrol,27303
Hyundai,2014,3.0,155344,Diesel,28506
BMW,2008,4.4,223564,Petrol,32541
Hyundai,2010,2.0,47153,Petrol,24007
BMW,2011,2.0,108042,Petrol,29067
BMW,2009,2.5,54110,Diesel,35807
Mercedes,2015,4.4,145051,Diesel,42879
BMW,2017,2.5,241131,Diesel,31422
Toyota,2023,1.6,239173,Diesel,30819
Kia,2014,4.4,28328,Petrol,42326
Kia,2014,1.6,112911,Petrol,23387
Hyundai,2015,2.5,275011,Petrol,21667
BMW,2011,4.4,59234,Diesel,46220
Toyota,2022,2.5,287995,Petrol,30063
Hyundai,2008,4.4,293423,Petrol,24197
Mercedes,2006,2.5,248503,Diesel,24929
Hyundai,2018,2.0,227135,Diesel,25265
Hyundai,2017,2.5,73402,Diesel,37660
BMW,2016,2.0,277593,Petrol,27434
Mercedes,2011,2.5,5451,Petrol,41691
Hyundai,2006,4.4,87178,Diesel,36506
Toyota,2017,4.4,236562,Petrol,34286
Toyota,2018,4.4,123765,Diesel,44093
Kia,2021,3.0,128389,Diesel,40707
Mercedes,2013,1.6,189699,Petrol,24185
Mercedes,2021,4.4,197227,Diesel,53979
Kia,2012,2.0,287516,Diesel,16436
Hyundai,2006,4.4,265786,Diesel,25860
Mercedes,2017,3.0,260220,Petrol,34756
Toyota,2007,2.0,296208,Diesel,11404
Toyota,2020,3.0,225898,Diesel,37816
BMW,2010,2.0,276266,Diesel,28688
Mercedes,2023,2.5,68431,Diesel,49048
Hyundai,2011,1.6,55745,Diesel,25568
Kia,2014,1.6,50081,Diesel,23697
Kia,2013,3.0,216204,Diesel,29392
Hyundai,2006,1.6,76253,Petrol,20010
BMW,2019,3.0,298335,Petrol,30616
Kia,2009,3.0,272355,Diesel,15752
Mercedes,2008,3.0,111086,Petrol,29547
BMW,2008,1.6,93783,Petrol,27601
Mercedes,2022,3.0,125681,Diesel,50205
Toyota,2008,1.6,87893,Petrol,19758
BMW,2021,3.0,158763,Diesel,46060
Kia,2016,4.4,77960,Diesel,43919
BMW,2021,3.0,22601,Diesel,51135
BMW,2014,2.0,139227,Diesel,35979
BMW,2005,3.0,200191,Diesel,24580
BMW,2022,2.5,167849,Petrol,43402
Mercedes,2022,3.0,281854,Diesel,39450
Toyota,2018,2.0,155604,Petrol,33782
Hyundai,2019,2.0,128727,Diesel,30553
BMW,2016,1.6,63227,Diesel,37135
Kia,2008,4.4,136039,Diesel,32815
BMW,2007,3.0,84289,Petrol,32890
Kia,2016,1.6,151094,Diesel,26926
Mercedes,2011,4.4,205743,Diesel,38141
Kia,2015,3.0,267866,Diesel,26032
Hyundai,2005,2.5,158485,Diesel,19852
Toyota,2010,3.0,233820,Petrol,22253
Kia,2019,2.0,236994,Diesel,27458
Kia,2019,2.0,68323,Petrol,30391
Toyota,2023,2.5,285960,Diesel,32549
Hyundai,2015,1.6,40695,Petrol,27458
BMW,2006,4.4,55841,Petrol,39561
Kia,2018,3.0,198784,Diesel,35454
Toyota,2006,2.0,107096,Diesel,25578
Mercedes,2008,1.6,92764,Petrol,29902
Toyota,2021,2.5,85744,Diesel,40288
Mercedes,2007,2.0,290626,Diesel,22283
Hyundai,2017,2.5,9171,Diesel,39266
BMW,2013,3.0,100755,Petrol,38053
Toyota,2011,4.4,108125,Diesel,39439
Kia,2019,2.0,3696,Diesel,41832
Hyundai,2015,2.0,126310,Diesel,31416
Toyota,2006,3.0,151385,Petrol,24920
Kia,2019,1.6,281293,Diesel,22094
Toyota,2018,4.4,45740,Petrol,47792
Mercedes,2015,2.0,106611,Diesel,38730
Toyota,2007,4.4,248922,Petrol,25510
Toyota,2021,2.0,63811,Diesel,41686
Toyota,2016,4.4,182385,Diesel,39038
Hyundai,2019,2.5,63232,Petrol,37122
Toyota,2020,2.0,277561,Petrol,21542
Kia,2009,4.4,155801,Petrol,29608
Mercedes,2010,1.6,112492,Diesel,34530
Mercedes,2023,2.5,30099,Diesel,54067
Toyota,2009,2.5,229206,Diesel,25110
Hyundai,2007,1.6,118474,Diesel,17741
Hyundai,2005,4.4,271400,Petrol,21637
Kia,2010,3.0,243588,Diesel,24884
Toyota,2019,1.6,34681,Diesel,38532
Mercedes,2006,4.4,91328,Diesel,42450
Hyundai,2007,1.6,218512,Diesel,17335
Toyota,2021,1.6,34540,Diesel,37192
Hyundai,2016,2.0,157608,Diesel,27751
Hyundai,2022,4.4,84700,Diesel,46256
Mercedes,2019,3.0,187647,Petrol,38427
BMW,2016,2.0,46002,Diesel,42848
Kia,2020,1.6,49812,Diesel,33174
Kia,2012,1.6,191051,Diesel,21418
Mercedes,2018,1.6,257906,Diesel,34421
Hyundai,2021,4.4,108946,Petrol,45196
Toyota,2012,4.4,66668,Petrol,41706
Hyundai,2019,2.0,99003,Petrol,33536
Mercedes,2018,3.0,211142,Petrol,35999
Kia,2022,2.0,220462,Petrol,27243
Hyundai,2011,2.5,194886,Petrol,19748
Kia,2007,1.6,104601,Diesel,18196
Toyota,2016,1.6,269956,Petrol,21934
Kia,2007,1.6,61844,Petrol,18217
Kia,2018,2.0,201165,Diesel,27371
BMW,2019,2.0,174870,Petrol,33171
BMW,2018,1.6,74601,Diesel,41722
BMW,2011,2.0,282844,Diesel,22767
Kia,2021,4.4,257927,Petrol,40649
Mercedes,2016,4.4,173423,Diesel,47450
Kia,2008,2.0,93330,Petrol,18019
Mercedes,2013,1.6,225391,Petrol,25388
Mercedes,2010,2.0,213606,Diesel,25194
BMW,2020,2.0,191387,Diesel,38609
Hyundai,2006,2.0,241133,Petrol,11420
Toyota,2012,2.5,162627,Diesel,28695
BMW,2015,4.4,178048,Diesel,44358
BMW,2017,3.0,45095,Petrol,43634
Hyundai,2021,3.0,145342,Petrol,34785
Toyota,2012,2.5,161980,Diesel,30073
Kia,2022,2.0,277667,Petrol,25270
Kia,2022,2.5,62433,Petrol,38248
BMW,2018,2.5,19991,Petrol,44104
Toyota,2019,1.6,272919,Petrol,21996
BMW,2010,4.4,147745,Petrol,38990
Mercedes,2015,3.0,122808,Petrol,40270
BMW,2017,2.0,158128,Petrol,32025
BMW,2005,3.0,137686,Diesel,28336
Kia,2010,3.0,7415,Petrol,34885
Kia,2013,4.4,246038,Diesel,31472
Kia,2012,3.0,254205,Diesel,22686
Mercedes,2015,3.0,299188,Diesel,30352
Kia,2023,2.5,188221,Petrol,35290
Toyota,2013,4.4,168616,Petrol,34457
Hyundai,2021,1.6,49976,Diesel,36470
Toyota,2016,2.0,265976,Petrol,19284
Toyota,2018,3.0,221883,Diesel,35542
Kia,2019,2.0,211509,Petrol,28278
Hyundai,2020,1.6,296292,Petrol,22154
Hyundai,2005,2.0,239241,Diesel,9968
Hyundai,2014,1.6,219526,Diesel,22701
Mercedes,2012,2.5,188799,Diesel,31405
Kia,2022,3.0,38578,Petrol,40229
Hyundai,2005,1.6,90453,Diesel,17710
Mercedes,2006,2.0,208859,Petrol,20750
BMW,2005,3.0,111435,Petrol,28418
BMW,2005,2.5,216101,Petrol,24242
Mercedes,2013,3.0,151538,Diesel,42446
Mercedes,2017,1.6,45475,Diesel,37987
Kia,2005,2.5,216232,Diesel,14810
Kia,2017,2.0,157636,Petrol,26903
BMW,2011,2.5,153484,Petrol,30048
Hyundai,2006,2.5,93526,Diesel,24622
BMW,2010,4.4,51001,Petrol,46281
Hyundai,2011,2.5,192029,Petrol,23397
Hyundai,2018,2.5,144228,Diesel,34508
Kia,2022,3.0,25711,Diesel,48532
Toyota,2019,2.0,30106,Diesel,36316
Toyota,2006,3.0,217583,Petrol,23081
Mercedes,2014,3.0,138286,Petrol,37259
Kia,2016,1.6,227189,Petrol,21710
Hyundai,2021,3.0,126479,Petrol,35616
Toyota,2012,4.4,136213,Petrol,35372
Hyundai,2015,4.4,28884,Diesel,46880
Toyota,2007,1.6,264852,Petrol,7899
Toyota,2010,2.0,280519,Petrol,17952
Toyota,2013,2.0,15088,Petrol,34765
Kia,2010,3.0,176118,Diesel,26049
BMW,2013,3.0,272158,Diesel,31675
Hyundai,2011,3.0,195497,Diesel,24557
Kia,2013,2.0,178207,Petrol,22938
Kia,2022,2.5,78077,Diesel,40791
Kia,2016,4.4,139784,Diesel,38667
Kia,2012,2.5,205776,Diesel,22928
Kia,2012,2.5,69087,Petrol,28226
Mercedes,2022,2.0,274441,Diesel,35492
Hyundai,2019,2.5,240341,Petrol,24757
Kia,2011,1.6,289272,Petrol,13434
Hyundai,2015,3.0,68368,Diesel,36094
Mercedes,2020,1.6,219571,Petrol,33052
Mercedes,2008,4.4,295064,Diesel,32090
